PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.26789996,-0.19511478,-0.10396113,-0.09898265,0.2401983,0.06871293,0.03421541,-0.06054785,0.0566682,0.11970261
0.24308917,-0.19186607,-0.09487806,-0.12011072,0.24399959,0.05532131,0.04915121,-0.0946308,0.06809839,0.12897287
0.22482084,-0.18447623,-0.09648634,-0.1279797,0.23026538,0.05395961,0.06746981,-0.10449812,0.05837421,0.13838489
0.18378706,-0.17402391,-0.08127934,-0.14807938,0.24131507,0.03677357,0.06625867,-0.10667221,0.05208367,0.15028775
0.17026727,-0.1561037,-0.06629742,-0.15588564,0.23202193,0.00387014,0.06038663,-0.09076811,0.04586034,0.16054656
0.12785186,-0.11600294,-0.10143492,-0.13234316,0.22228573,-0.01778163,0.05169688,-0.08312068,0.0536318,0.17110489
0.07680914,-0.09313548,-0.14441006,-0.11298732,0.19051808,-0.03931203,0.05751922,-0.08156115,0.03551787,0.159082
0.05053043,-0.08378497,-0.17521766,-0.09605188,0.16750833,-0.06440376,0.04622654,-0.07518133,0.02255058,0.12070744
0.03719732,-0.07787977,-0.20594878,-0.06998589,0.17148019,-0.07029969,0.04302564,-0.07420835,0.00173046,0.10366503
0.0126514,-0.0761519,-0.22049622,-0.05298556,0.16822119,-0.07713244,0.03316186,-0.08684999,-0.01834239,0.06218778
0.00287229,-0.08017283,-0.21834645,-0.03991178,0.15655005,-0.08818895,0.02826522,-0.07013693,-0.02852794,0.05044208
-0.00252927,-0.06500404,-0.21807839,-0.0179478,0.14520822,-0.09367751,0.00706112,-0.06502479,-0.04399841,0.02588596
-0.00409841,-0.04690713,-0.21369417,0.00036716,0.1151215,-0.08700079,-0.01152092,-0.05655739,-0.03802986,0.00517256
-0.01138668,-0.02535139,-0.21274075,0.03449989,0.08520006,-0.08294973,-0.02177966,-0.02586974,-0.0265874,-0.00795868
-0.03427975,-0.02284052,-0.21325737,0.04659815,0.09062871,-0.06492198,-0.0288165,-0.00875188,-0.0083539,-0.02368765
-0.06004215,-0.01875202,-0.21507274,0.07971004,0.08686073,-0.06581317,-0.00364706,0.01451528,0.01047717,-0.02928421
-0.0492667,-0.04070966,-0.22195999,0.11480319,0.07144821,-0.06251027,0.02078214,0.02838699,0.02914533,-0.05568927
-0.04113477,-0.06915779,-0.18901956,0.1113231,0.06711257,-0.0541788,0.04744635,0.02380159,0.02967872,-0.06704749
-0.04128858,-0.06999576,-0.15397689,0.10956688,0.04979339,-0.0506708,0.06663483,0.02214228,0.02212394,-0.06116511
-0.05782298,-0.06525001,-0.12875552,0.10007016,0.02874089,-0.03729765,0.07826772,0.00875491,-0.00523202,-0.06284475
-0.08396986,-0.04078218,-0.1051014,0.09582759,-0.00748487,-0.02828132,0.06384426,-0.00065724,-0.02499554,-0.08243592
-0.10646228,-0.02531058,-0.06633836,0.09501005,-0.03857811,-0.02662748,0.05233352,-0.00978595,-0.02100149,-0.08296797
-0.10635863,-0.00504112,-0.0467791,0.10364188,-0.04999674,-0.00746784,0.03704548,-0.01958865,-0.02701005,-0.0807711
-0.12539583,-0.01389468,-0.01452174,0.10061206,-0.06216945,0.01097611,0.03312143,-0.02482688,-0.02512401,-0.07727519
-0.1488819,-0.01985613,0.00925072,0.09591221,-0.04796653,0.01319542,0.0408194,-0.04864562,-0.04185786,-0.07028607
-0.18674895,-0.03812447,0.02328895,0.09813306,-0.03680436,0.0291849,0.05016069,-0.0659182,-0.04391088,-0.07992224
-0.20247437,-0.04772753,0.04945485,0.08777189,-0.0427134,0.03237008,0.0493694,-0.08992953,-0.04547785,-0.08028055
-0.20925257,-0.04077231,0.07742548,0.06103912,-0.05486118,0.06399494,0.01821282,-0.12582691,-0.05867759,-0.10259849
-0.20140338,-0.01917273,0.10407526,0.04389249,-0.06116231,0.07728853,-0.00127063,-0.13585615,-0.07467379,-0.11285143
-0.21982002,-0.00500619,0.11933241,0.02428665,-0.07429588,0.08810668,-0.00454229,-0.13040167,-0.06651209,-0.11871155
-0.23219296,-0.01096795,0.12948459,0.00602559,-0.08254686,0.10785253,-0.00738383,-0.13376755,-0.0512513,-0.12922496
-0.25650451,-0.02406554,0.15097758,0.00546176,-0.07834507,0.13321051,-0.01460751,-0.12618597,-0.02862286,-0.12858146
-0.28133205,-0.05718653,0.17764872,-0.00521727,-0.05677387,0.14866588,0.02737588,-0.12440053,-0.01330281,-0.11875024
-0.29711989,-0.05953814,0.16873407,-0.02457347,-0.02394992,0.16384377,0.0585144,-0.12937309,-0.00393437,-0.11807856
-0.33630151,-0.06950261,0.18151264,-0.04253579,-0.00922328,0.16849956,0.08257477,-0.11434413,0.02443934,-0.12686543
-0.33780056,-0.05004581,0.18409885,-0.05132699,0.00978129,0.1694389,0.10485973,-0.10384163,0.02078055,-0.12644947
-0.32742172,-0.03555196,0.18392731,-0.06637343,0.02141359,0.16442905,0.11985338,-0.0775005,0.03577421,-0.12343951
-0.31951052,-0.01667662,0.18470639,-0.08261542,0.03109055,0.15138122,0.12178774,-0.06522019,0.03494073,-0.11395332
-0.32004964,0.01105832,0.17583737,-0.0735056,0.03574487,0.14951961,0.12120297,-0.0302289,0.0227572,-0.09845817
-0.32566535,0.00446405,0.15797463,-0.0647917,0.03937671,0.13568795,0.1356715,-0.01343696,0.02057069,-0.07455764
-0.31174722,-0.01371709,0.14456594,-0.05658821,0.04780875,0.13728352,0.14898728,-0.01585426,0.02421962,-0.06787343
-0.29366949,-0.01207205,0.11134782,-0.04680085,0.06099791,0.14128791,0.16104567,-0.02103267,0.01517412,-0.06029225
-0.28210515,-0.03819789,0.09681098,-0.05264434,0.06649255,0.13302346,0.16579631,-0.0008972,0.00602202,-0.05667213
-0.25795218,-0.04205849,0.07817395,-0.06645293,0.06943959,0.10989458,0.1955259,0.02004057,0.00584371,-0.04680754
-0.22315814,-0.04480104,0.04726271,-0.07925721,0.05150473,0.10439561,0.19025561,0.0381191,0.00205699,-0.04016355
-0.18805189,-0.04663465,0.02789639,-0.07911511,0.03787356,0.09625964,0.18758877,0.06498266,0.00125535,-0.0262084
-0.14853598,-0.04642525,0.01351674,-0.08594009,0.01945275,0.08148333,0.17750165,0.06772606,-0.00377167,-0.0138381
-0.0957349,-0.04566831,0.00700031,-0.08536747,-0.01760889,0.06566479,0.16968025,0.08618729,0.00626032,-0.0115728
-0.0585758,-0.04653727,0.01415566,-0.0791652,-0.04848559,0.05334549,0.16722851,0.09263483,0.01632257,-0.01630666
0.01272768,-0.05892267,0.01225424,-0.08488181,-0.06366643,0.04391478,0.18264553,0.08698513,0.01588821,-0.01716164
0.09641928,-0.08574925,0.02150664,-0.09310459,-0.0647489,0.00871074,0.20533414,0.06536584,0.02280736,-0.01377201
0.17027834,-0.08725446,0.02891195,-0.10884997,-0.05085832,-0.02903728,0.23047037,0.04828059,0.01852126,-0.01979894
0.25992888,-0.09156566,0.03432634,-0.11195708,-0.04734239,-0.07988,0.24253559,0.06075856,0.02030184,-0.02365116
